1,173,217,100,,,
2,173,217,100,,,
3,173,217,101,,,
4,173,217,100,,,
5,173,217,100,,,
6,173,217,94,,,
7,173,218,92,,,
8,173,218,92,,,
9,174,220,92,,,
10,176,222,99,,,
11,178,225,104,,,
12,180,227,109,,,
13,180,227,109,,,
14,182,229,112,,,
15,185,230,114,,,
16,187,232,115,,,
17,188,233,115,,,
18,190,234,115,,,
19,190,234,115,,,
20,191,234,115,,,
21,191,235,115,,,
22,191,236,116,,,
23,191,236,119,,,
24,190,237,123,,,
25,190,237,123,,,
26,189,238,126,,,
27,188,240,126,,,
28,186,242,125,,,
29,184,244,124,,,
30,184,244,124,,,
31,181,251,124,,,
32,181,251,124,,,
33,179,255,124,,,
34,177,258,124,,,
35,176,262,124,,,
36,174,265,125,,,
37,173,267,125,,,
38,173,267,125,,,
39,173,269,125,,,
40,172,271,125,,,
41,172,272,126,,,
42,172,273,126,,,
43,172,274,125,,,
44,173,274,125,,,
45,174,274,125,,,
46,174,274,125,,,
47,176,274,125,,,
48,178,274,128,,,
49,181,273,130,,,
50,185,272,132,,,
51,189,272,135,,,
52,189,272,135,,,
53,192,272,137,,,
54,196,272,139,,,
55,200,274,139,,,
56,202,276,140,,,
57,205,279,143,,,
58,205,279,143,,,
59,207,282,146,,,
60,209,286,151,,,
61,210,290,154,,,
62,211,295,156,,,
63,211,301,158,,,
64,210,306,158,,,
65,202,324,165,,,
66,199,326,165,,,
67,197,326,166,,,
68,194,326,166,,,
69,192,323,166,,,
70,190,320,166,,,
71,189,316,166,,,
72,189,316,166,,,
73,188,312,166,,,
74,188,308,166,,,
75,188,305,166,,,
76,190,302,166,,,
77,192,300,166,,,
78,194,299,166,,,
79,197,299,166,,,
80,197,299,166,,,
81,200,299,171,,,
82,204,300,180,,,
83,207,301,188,,,
84,210,304,191,,,
85,213,306,193,,,
86,216,309,193,,,
87,219,313,193,,,
88,222,316,191,,,
89,222,316,191,,,
90,225,318,184,,,
91,228,320,157,,,
92,231,322,103,,,
93,233,323,43,,,
94,232,290,201,,,
95,232,290,201,,,
96,232,289,154,,,
97,233,286,154,,,
98,233,286,154,,,
99,235,281,155,,,
100,237,276,155,,,
101,238,269,155,,,
102,240,261,154,,,
103,241,253,154,,,
104,242,245,154,,,
105,242,237,154,,,
106,241,230,154,,,
107,241,230,154,,,
108,240,222,159,,,
109,240,222,159,,,
110,239,220,166,,,
111,238,220,176,,,
112,236,222,178,,,
113,235,224,178,,,
114,234,228,176,,,
115,233,232,176,,,
116,233,236,176,,,
117,234,240,173,,,
118,239,246,171,,,
119,243,250,171,,,
120,247,254,173,,,
121,251,257,173,,,
122,255,261,173,,,
123,258,264,173,,,
124,261,268,173,,,
125,263,271,173,,,
126,264,274,173,,,
127,264,276,173,,,
128,264,278,174,,,
129,263,280,179,,,
130,261,280,183,,,
131,261,280,183,,,
132,256,281,185,,,
133,253,281,186,,,
134,250,280,185,,,
135,250,280,185,,,
136,246,279,185,,,
137,246,279,185,,,
138,245,279,186,,,
139,245,279,186,,,
140,245,280,186,,,
141,245,280,182,,,
142,246,281,182,,,
143,247,282,182,,,
144,249,283,181,,,
145,251,283,181,,,
146,254,283,182,,,
147,256,281,185,,,
148,259,278,188,,,
149,262,274,190,,,
150,265,270,191,,,
151,267,265,191,,,
152,269,259,191,,,
153,271,253,192,,,
154,271,246,192,,,
155,271,246,192,,,
156,270,224,194,,,
157,269,216,194,,,
158,268,208,193,,,
159,267,200,191,,,
160,265,194,191,,,
161,264,188,191,,,
162,262,185,191,,,
163,262,185,191,,,
164,260,182,191,,,
165,260,182,191,,,
166,259,182,191,,,
167,258,183,190,,,
168,257,186,188,,,
169,257,189,188,,,
170,258,192,187,,,
171,259,197,187,,,
172,261,202,187,,,
173,263,208,190,,,
174,266,214,194,,,
175,269,221,199,,,
176,272,227,201,,,
177,276,233,206,,,
178,279,238,206,,,
179,281,243,208,,,
180,284,246,209,,,
181,285,248,209,,,
182,289,249,211,,,
183,289,246,222,,,
184,289,243,227,,,
185,290,238,229,,,
186,290,233,229,,,
187,291,227,231,,,
188,291,223,231,,,
189,292,219,231,,,
190,293,216,231,,,
191,293,214,231,,,
192,293,213,231,,,
193,293,212,231,,,
194,294,213,227,,,
195,294,214,227,,,
196,295,216,229,,,
197,297,221,241,,,
198,299,223,241,,,
199,301,225,241,,,
200,303,227,241,,,
201,305,227,241,,,
202,308,228,240,,,
203,310,228,240,,,
204,312,227,241,,,
205,313,225,241,,,
206,314,223,243,,,
207,314,223,243,,,
208,315,221,246,,,
209,315,213,249,,,
210,315,213,249,,,
211,315,210,251,,,
212,315,207,252,,,
213,315,205,253,,,
214,315,204,255,,,
215,314,204,257,,,
216,314,204,260,,,
217,314,204,260,,,
218,314,204,252,,,
219,314,206,252,,,
220,315,208,252,,,
221,316,210,252,,,
222,317,212,251,,,
223,319,214,251,,,
224,321,216,250,,,
225,324,217,251,,,
226,327,218,250,,,
227,330,218,250,,,
228,332,217,249,,,
229,332,217,249,,,
230,335,212,250,,,
231,336,209,250,,,
232,336,206,252,,,
233,336,206,252,,,
234,336,196,253,,,
235,336,196,253,,,
236,334,190,253,,,
237,333,182,252,,,
238,331,175,252,,,
239,330,167,251,,,
240,328,160,247,,,
241,327,154,247,,,
242,325,150,247,,,
243,324,148,249,,,
244,323,147,249,,,
245,322,147,249,,,
246,322,147,246,,,
247,322,150,236,,,
248,322,154,236,,,
249,322,159,236,,,
